"max.depth","min.node.size","mtry","sample.fraction","mean_youden","std_youden"
4,5,141,0.7,0.2596,0.0325
4,20,226,0.8,0.2582,0.0468
4,5,226,0.8,0.258,0.0468
4,10,226,0.8,0.258,0.0469
4,20,226,0.7,0.2575,0.0349
4,10,226,0.7,0.2572,0.0347
4,10,141,0.7,0.2571,0.0336
4,20,141,0.7,0.257,0.0328
4,5,226,0.7,0.2563,0.036
4,20,141,0.8,0.2552,0.0356
4,5,141,0.8,0.254,0.0373
6,20,141,0.7,0.2527,0.0189
4,10,141,0.8,0.2527,0.0374
8,10,141,0.7,0.251,0.015
6,10,226,0.7,0.2496,0.0198
6,20,226,0.7,0.2495,0.0211
8,20,141,0.7,0.2474,0.0197
6,5,226,0.7,0.2474,0.0234
8,20,141,0.8,0.2473,0.0225
6,5,226,0.8,0.2471,0.0255
6,10,141,0.7,0.2463,0.0211
8,5,141,0.7,0.2455,0.0206
8,10,226,0.8,0.2455,0.0192
6,10,141,0.8,0.2446,0.0184
8,5,226,0.8,0.2444,0.0168
8,10,226,0.7,0.2441,0.019
6,10,226,0.8,0.2441,0.026
8,5,226,0.7,0.2436,0.0199
8,5,141,0.8,0.2435,0.0198
6,5,141,0.8,0.2433,0.0225
8,10,141,0.8,0.2431,0.0205
6,5,141,0.7,0.2427,0.0216
6,20,226,0.8,0.2427,0.0291
6,20,141,0.8,0.2419,0.0194
8,20,226,0.7,0.2406,0.0188
8,20,226,0.8,0.2399,0.0219
