max_depth,min_child_weight,reg_lambda,subsample,mean_rounds,mean_youden,std_youden
4,20,10.0,0.7,102.8,0.2791,0.0221
4,20,1.0,0.7,40.5,0.2728,0.0214
8,20,5.0,0.8,46.2,0.2652,0.0331
4,10,10.0,0.8,60.5,0.2644,0.0254
4,5,5.0,0.7,61.8,0.2619,0.0275
4,20,10.0,0.8,58.8,0.2613,0.0212
4,10,10.0,0.7,46.8,0.261,0.0138
4,5,5.0,0.8,50.5,0.2597,0.0137
4,5,1.0,0.8,32.5,0.2581,0.0103
4,5,10.0,0.7,71.8,0.2579,0.0242
4,10,1.0,0.7,40.5,0.2576,0.0183
6,5,1.0,0.8,56.0,0.2576,0.033
4,20,5.0,0.7,40.2,0.2566,0.0117
4,5,10.0,0.8,35.2,0.2556,0.0245
4,5,1.0,0.7,40.8,0.255,0.0131
4,10,5.0,0.7,41.2,0.2545,0.0272
6,20,10.0,0.7,32.0,0.254,0.0223
6,20,1.0,0.8,34.5,0.2532,0.0231
8,20,10.0,0.8,37.8,0.2528,0.0275
6,5,10.0,0.8,42.0,0.2519,0.0222
4,20,1.0,0.8,17.8,0.2514,0.0152
4,10,5.0,0.8,52.8,0.2514,0.0233
6,10,10.0,0.7,49.0,0.2494,0.0098
6,20,5.0,0.8,37.0,0.2492,0.021
6,10,5.0,0.7,54.8,0.249,0.0214
4,20,5.0,0.8,28.8,0.2486,0.0243
6,5,5.0,0.8,55.2,0.2483,0.0211
8,20,10.0,0.7,55.5,0.2478,0.0112
8,10,5.0,0.8,72.5,0.2464,0.0418
8,5,10.0,0.7,60.2,0.2454,0.0217
6,5,10.0,0.7,34.5,0.2454,0.0264
6,5,1.0,0.7,39.2,0.2451,0.0246
4,10,1.0,0.8,27.0,0.2444,0.0245
8,5,5.0,0.8,66.8,0.2442,0.0237
6,5,5.0,0.7,32.5,0.244,0.0166
8,10,10.0,0.8,52.2,0.2439,0.0201
8,5,10.0,0.8,47.8,0.2438,0.0201
8,20,1.0,0.8,43.2,0.2435,0.0287
8,20,5.0,0.7,38.0,0.2433,0.0236
6,10,5.0,0.8,40.0,0.2431,0.0217
8,20,1.0,0.7,59.8,0.2416,0.0231
6,10,1.0,0.7,40.8,0.2413,0.0267
6,10,1.0,0.8,64.2,0.2389,0.0249
6,20,10.0,0.8,16.8,0.2374,0.018
8,10,1.0,0.8,41.0,0.2373,0.0193
6,20,5.0,0.7,31.2,0.2372,0.0133
8,5,1.0,0.8,28.0,0.2371,0.0228
6,20,1.0,0.7,26.5,0.237,0.0141
8,5,5.0,0.7,51.5,0.2368,0.0336
8,10,10.0,0.7,57.8,0.2363,0.0181
6,10,10.0,0.8,33.5,0.2354,0.0108
8,5,1.0,0.7,36.8,0.2345,0.0274
8,10,1.0,0.7,55.0,0.2337,0.0149
8,10,5.0,0.7,33.8,0.2302,0.0211
